科目名	学部課程	年度	科目区分	科目小区分	応用化学分野	必須度	学修プログラム
化学の英語	応用化学課程	2025	専攻科目	専門基礎科目	英語	必修	NULL
化学の基礎	応用化学課程	2025	専攻科目	専門基礎科目	化学	必修	NULL
化学と社会	応用化学課程	2025	専攻科目	専門基礎科目	化学	必修	[25]
化学と安全管理	応用化学課程	2025	専攻科目	専門基礎科目	化学	必修	[16]
化学と情報処理	応用化学課程	2025	専攻科目	専門基礎科目	化学	必修	NULL
数学の基礎	応用化学課程	2025	専攻科目	専門基礎科目	数学	必修	NULL
物理の基礎	応用化学課程	2025	専攻科目	専門基礎科目	物理学	必修	NULL
物理化学I	応用化学課程	2025	専攻科目	専門基礎科目	物理化学	必修	NULL
物理化学II	応用化学課程	2025	専攻科目	専門基礎科目	物理化学	必修	NULL
物理化学III	応用化学課程	2025	専攻科目	専門基礎科目	物理化学	必修	NULL
無機化学I	応用化学課程	2025	専攻科目	専門基礎科目	無機化学	必修	NULL
無機化学II	応用化学課程	2025	専攻科目	専門基礎科目	無機化学	必修	NULL
有機化学I	応用化学課程	2025	専攻科目	専門基礎科目	有機化学	必修	NULL
有機化学II	応用化学課程	2025	専攻科目	専門基礎科目	有機化学	必修	NULL
プロジェクト演習I	応用化学課程	2025	専攻科目	専門基礎科目	実験・演習	必修	NULL
プロジェクト演習II	応用化学課程	2025	専攻科目	専門基礎科目	実験・演習	選択	NULL
地学概論	応用化学課程	2025	専攻科目	専門基礎科目	地学	選択	NULL
生物学概論	応用化学課程	2025	専攻科目	専門基礎科目	生物学	選択	NULL
物理基礎実験	応用化学課程	2025	専攻科目	専門基礎科目	物理学	必修	NULL
化学基礎実験	応用化学課程	2025	専攻科目	専門基礎科目	化学	必修	NULL
物理化学実験	応用化学課程	2025	専攻科目	専門基礎科目	物理化学	必修	NULL
機器分析化学実験	応用化学課程	2025	専攻科目	専門基礎科目	化学	必修	NULL
化学合成実験	応用化学課程	2025	専攻科目	専門基礎科目	化学	必修	NULL
地学実験	応用化学課程	2025	専攻科目	専門基礎科目	地学	選択	NULL
生物学実験	応用化学課程	2025	専攻科目	専門基礎科目	生物学	選択	NULL
キャリア実習·実習指導	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
ASEAN グロ-バルプログラム	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
デザインシンキング	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
グロ-バル人材育成プログラム	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
プロジェクトリサ-チI	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
プロジェクトリサ-チII	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
先端理工キャリア実習I	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
先端理工インタ-ンシップI	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
先端理工キャリア実習II	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
先端理工インタ-ンシップII	応用化学課程	2025	専攻科目	専門基礎科目	実験・実習	選択	NULL
情報基礎	応用化学課程	2025	専攻科目	専門基礎科目	総合	必修	NULL
フレッシャ-ズセミナ-	応用化学課程	2025	専攻科目	専門基礎科目	総合	選択	NULL
理工学のすすめ	応用化学課程	2025	専攻科目	専門基礎科目	総合	選択	NULL
資源·エネルギ-と環境	応用化学課程	2025	専攻科目	専門基礎科目	総合	必修	[16,24,25]
クラウドコンピュ-ティング演習	応用化学課程	2025	専攻科目	専門基礎科目	総合	随意	NULL
科学技術英語	応用化学課程	2025	専攻科目	専門応用科目	英語	必修	NULL
英語セミナ-	応用化学課程	2025	専攻科目	専門応用科目	英語	必修	NULL
アドバンスト数学I	応用化学課程	2025	専攻科目	専門応用科目	数学	選択	NULL
アドバンスト数学II	応用化学課程	2025	専攻科目	専門応用科目	数学	選択	NULL
アドバンスト数学III	応用化学課程	2025	専攻科目	専門応用科目	数学	選択	NULL
アドバンスト数学IV	応用化学課程	2025	専攻科目	専門応用科目	数学	選択	NULL
アドバンスト物理I	応用化学課程	2025	専攻科目	専門応用科目	物理学	選択	NULL
アドバンスト物理II	応用化学課程	2025	専攻科目	専門応用科目	物理学	選択	NULL
アドバンスト物理III	応用化学課程	2025	専攻科目	専門応用科目	物理学	選択	NULL
アドバンスト物理IV	応用化学課程	2025	専攻科目	専門応用科目	物理学	選択	NULL
電気化学I	応用化学課程	2025	専攻科目	専門応用科目	物理化学	選択	[17]
電気化学II	応用化学課程	2025	専攻科目	専門応用科目	物理化学	選択	[17]
アドバンスト電気化学	応用化学課程	2025	専攻科目	専門応用科目	物理化学	選択	[17]
分析化学	応用化学課程	2025	専攻科目	専門応用科目	分析化学	選択	[20]
機器分析化学	応用化学課程	2025	専攻科目	専門応用科目	分析化学	選択	[20]
アドバンスト機器分析化学I	応用化学課程	2025	専攻科目	専門応用科目	分析化学	選択	[20]
アドバンスト機器分析化学II	応用化学課程	2025	専攻科目	専門応用科目	分析化学	選択	[20]
結晶学入門I	応用化学課程	2025	専攻科目	専門応用科目	無機化学	選択	[19]
結晶学入門II	応用化学課程	2025	専攻科目	専門応用科目	無機化学	選択	[19]
固体物性化学I	応用化学課程	2025	専攻科目	専門応用科目	無機化学	選択	[17]
固体物性化学II	応用化学課程	2025	専攻科目	専門応用科目	無機化学	選択	[17]
セラミックス材料工学I	応用化学課程	2025	専攻科目	専門応用科目	無機化学	選択	[19]
セラミックス材料工学II	応用化学課程	2025	専攻科目	専門応用科目	無機化学	選択	[19]
構造解析学	応用化学課程	2025	専攻科目	専門応用科目	無機化学	選択	[17]
医薬品のプロセス化学	応用化学課程	2025	専攻科目	専門応用科目	有機化学	選択	[18]
有機化合物スペクトル解析入門I	応用化学課程	2025	専攻科目	専門応用科目	有機化学	選択	[18]
有機化合物スペクトル解析入門II	応用化学課程	2025	専攻科目	専門応用科目	有機化学	選択	[18]
光化学I	応用化学課程	2025	専攻科目	専門応用科目	有機化学	選択	[18]
光化学II	応用化学課程	2025	専攻科目	専門応用科目	有機化学	選択	[18]
逆合成解析化学I	応用化学課程	2025	専攻科目	専門応用科目	有機化学	選択	[18]
逆合成解析化学II	応用化学課程	2025	専攻科目	専門応用科目	有機化学	選択	[18]
高分子化学I	応用化学課程	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子化学II	応用化学課程	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子構造材料物性I	応用化学課程	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子構造材料物性II	応用化学課程	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子材料工学I	応用化学課程	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子材料工学II	応用化学課程	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
生化学I	応用化学課程	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[18,19]
生化学II	応用化学課程	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[18,19]
分子集合化学	応用化学課程	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[18]
バイオミメティックス 生物に倣ったものづくり	応用化学課程	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[18]
界面化学	応用化学課程	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[19]
バイオマテリアルI	応用化学課程	2025	専攻科目	専門応用科目	材料科学	選択	[18,19]
バイオマテリアルII	応用化学課程	2025	専攻科目	専門応用科目	材料科学	選択	[18,19]
量子材料科学I	応用化学課程	2025	専攻科目	専門応用科目	材料科学	選択	[17]
量子材料科学II	応用化学課程	2025	専攻科目	専門応用科目	材料科学	選択	[17]
半導体材料科学I	応用化学課程	2025	専攻科目	専門応用科目	材料科学	選択	[17]
半導体材料科学II	応用化学課程	2025	専攻科目	専門応用科目	材料科学	選択	[17]
ナノマテリアル	応用化学課程	2025	専攻科目	専門応用科目	材料科学	選択	[19]
アドバンスト環境化学I	応用化学課程	2025	専攻科目	専門応用科目	環境化学	選択	[18,20]
アドバンスト環境化学II	応用化学課程	2025	専攻科目	専門応用科目	環境化学	選択	[18,20]
循環型グリ-ンケミストリ-	応用化学課程	2025	専攻科目	専門応用科目	環境化学	選択	[18,20]
食と分子科学	応用化学課程	2025	専攻科目	専門応用科目	環境化学	選択	[18,20]
アドバンスト物質科学合成実験	応用化学課程	2025	専攻科目	専門応用科目	実験・実習	選択	NULL
研究デザイン演習	応用化学課程	2025	専攻科目	専門応用科目	実験・実習	必修	NULL
化学工学	応用化学課程	2025	専攻科目	専門応用科目	その他	選択	[20]
反応工学	応用化学課程	2025	専攻科目	専門応用科目	その他	選択	[20]
エネルギ-変換工学I	応用化学課程	2025	専攻科目	専門応用科目	その他	選択	[17]
エネルギ-変換工学II	応用化学課程	2025	専攻科目	専門応用科目	その他	選択	[17]
特別研究	応用化学課程	2025	専攻科目	専門応用科目	特別研究	必修	NULL
