科目名	学部課程	年度	科目区分	科目小区分	必須度	履修制限	単位制限
仏教の思想Ａ	先端理工学部	2025	教養教育科目	仏教の思想	必修	NULL	NULL
仏教の思想Ｂ	先端理工学部	2025	教養教育科目	仏教の思想	必修	NULL	NULL
歎異抄の思想Ⅰ	先端理工学部	2025	教養教育科目	仏教の思想	選択	NULL	NULL
歎異抄の思想Ⅱ	先端理工学部	2025	教養教育科目	仏教の思想	選択	NULL	NULL
英語総合1（Ａ）	先端理工学部	2025	教養教育科目	言語科目	必修	NULL	NULL
英語総合1（Ｂ）	先端理工学部	2025	教養教育科目	言語科目	必修	NULL	NULL
英語総合2（Ａ）	先端理工学部	2025	教養教育科目	言語科目	必修	NULL	NULL
英語総合2（Ｂ）	先端理工学部	2025	教養教育科目	言語科目	必修	NULL	NULL
英語総合3	先端理工学部	2025	教養教育科目	言語科目	必修	NULL	NULL
英語総合4	先端理工学部	2025	教養教育科目	言語科目	必修	NULL	NULL
英語セミナーＡ1	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＡ2	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＢ1	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＢ2	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＣ1	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＣ2	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＤ1	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＤ2	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＥ1	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＥ2	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＦ1	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＦ2	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＧ1	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
英語セミナーＧ2	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
海外英語研修	先端理工学部	2025	教養教育科目	言語科目	選択	1・2年次のみ履修可	NULL
ドイツ語ⅠＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
ドイツ語ⅠＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
ドイツ語ⅡＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
ドイツ語ⅡＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
フランス語ⅠＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
フランス語ⅠＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
フランス語ⅡＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
フランス語ⅡＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
中国語ⅠＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
中国語ⅠＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
中国語ⅡＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
中国語ⅡＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
コリア語ⅠＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
コリア語ⅠＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
コリア語ⅡＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
コリア語ⅡＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
ドイツ語セミナーⅠＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
ドイツ語セミナーⅠＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
フランス語セミナーⅠＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
フランス語セミナーⅠＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
中国語セミナーⅠＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
中国語セミナーⅠＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
コリア語セミナーⅠＡ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
コリア語セミナーⅠＢ	先端理工学部	2025	教養教育科目	言語科目	選択	NULL	NULL
日本語	先端理工学部	2025	教養教育科目	人文科学系科目	選択	留学生対象 	NULL
哲学入門	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
倫理学入門	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
倫理学Ａ	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
クリティカル・シンキング	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
宗教学のすすめ	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
宗教の世界	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
日本の文学M	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
日本の文学N	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
アジアの文学Ａ	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
アジアの文学B	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
西洋の文学Ａ	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
西洋の文学B	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
言語学入門	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
歴史入門	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
日本の歴史M	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
日本の歴史N	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
日本の文化	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
西洋の歴史M	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
西洋の歴史N	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
心理学入門	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
教育原論A	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
教育原論B	先端理工学部	2025	教養教育科目	人文科学系科目	選択必修	NULL	NULL
倫理学B	先端理工学部	2025	教養教育科目	人文科学系科目	選択	NULL	NULL
アジアの歴史M	先端理工学部	2025	教養教育科目	人文科学系科目	選択	NULL	NULL
アジアの歴史N	先端理工学部	2025	教養教育科目	人文科学系科目	選択	NULL	NULL
アジアの文化	先端理工学部	2025	教養教育科目	人文科学系科目	選択	NULL	NULL
心理学A	先端理工学部	2025	教養教育科目	人文科学系科目	選択	NULL	NULL
心理学B	先端理工学部	2025	教養教育科目	人文科学系科目	選択	NULL	NULL
学習・発達論A	先端理工学部	2025	教養教育科目	人文科学系科目	選択	NULL	NULL
学習・発達論B	先端理工学部	2025	教養教育科目	人文科学系科目	選択	NULL	NULL
日本国憲法	先端理工学部	2025	教養教育科目	社会科学系科目	選択必修	NULL	NULL
