科目名	学部課程	年度	科目区分	科目小区分	必須度	学修プログラム	形態
環境実験IA	環境科学課程	2025	専攻科目	専門基礎科目	必修	[22,23]	実験実習
化学実験	環境科学課程	2025	専攻科目	専門基礎科目	必修	NULL	実験実習
キャリア実習・実習指導	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
生物学実験	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
地学実験	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
ASEAN グローバルプログラム	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
物理実験	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
グローバル人材育成プログラム	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
プロジェクトリサーチ I	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
プロジェクトリサーチ II	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
先端理工キャリア実習 I	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
先端理工インターンシップ I	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
先端理工キャリア実習 II	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
先端理工インターンシップ II	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	実験実習
化学概論	環境科学課程	2025	専攻科目	専門基礎科目	必修	NULL	講義演習
環境生態工学概論	環境科学課程	2025	専攻科目	専門基礎科目	必修	[24]	講義演習
環境寄席	環境科学課程	2025	専攻科目	専門基礎科目	必修	NULL	講義演習
情報基礎	環境科学課程	2025	専攻科目	専門基礎科目	必修	NULL	講義演習
数学概論	環境科学課程	2025	専攻科目	専門基礎科目	必修	NULL	講義演習
生態学概論 I	環境科学課程	2025	専攻科目	専門基礎科目	必修	[25]	講義演習
生態学概論 II	環境科学課程	2025	専攻科目	専門基礎科目	必修	[25]	講義演習
地域環境概論 A	環境科学課程	2025	専攻科目	専門基礎科目	必修	[22,25]	講義演習
地域環境概論 B	環境科学課程	2025	専攻科目	専門基礎科目	必修	[22,25]	講義演習
地球環境概論 A	環境科学課程	2025	専攻科目	専門基礎科目	必修	[25]	講義演習
地球環境概論 B	環境科学課程	2025	専攻科目	専門基礎科目	必修	[25]	講義演習
生物学概論	環境科学課程	2025	専攻科目	専門基礎科目	選必	[15]	講義演習
地学概論	環境科学課程	2025	専攻科目	専門基礎科目	選必	NULL	講義演習
物理学概論	環境科学課程	2025	専攻科目	専門基礎科目	選必	NULL	講義演習
理工学のすすめ	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	講義演習
フレッシャーズセミナー	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	講義演習
クラウドコンピューティング演習	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	講義演習
デザインシンキング	環境科学課程	2025	専攻科目	専門基礎科目	選択	NULL	講義演習
環境分析化学実験	環境科学課程	2025	専攻科目	専門応用科目	必修	[24]	実験実習
特別研究	環境科学課程	2025	専攻科目	専門応用科目	必修	NULL	実験実習
環境実習 IIA	環境科学課程	2025	専攻科目	専門応用科目	選択	[22]	実験実習
環境実習 IIIA	環境科学課程	2025	専攻科目	専門応用科目	選択	NULL	実験実習
廃棄物・大気環境施設実験	環境科学課程	2025	専攻科目	専門応用科目	選択	[21]	実験実習
水環境施設実験	環境科学課程	2025	専攻科目	専門応用科目	選択	[21]	実験実習
進化学	環境科学課程	2025	専攻科目	専門応用科目	必修	[18,23]	講義演習
