syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at
B000000010,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B201),1,２０２５年度以降入学生用,2025-06-01 17:35:48,2025-06-01 08:35:48
B000000011,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B202),1,２０２５年度以降入学生用,2025-06-01 17:36:16,2025-06-01 08:36:16
B000000012,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B203),1,２０２５年度以降入学生用,2025-06-01 17:36:42,2025-06-01 08:36:42
B000000013,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B204),1,２０２５年度以降入学生用,2025-06-01 17:37:09,2025-06-01 08:37:09
B000000014,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B205),1,２０２５年度以降入学生用,2025-06-01 17:37:36,2025-06-01 08:37:36
B000000015,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B206),1,２０２５年度以降入学生用,2025-06-01 17:38:03,2025-06-01 08:38:03
B000000016,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B201),1,,2025-06-01 17:38:30,2025-06-01 08:38:30
B000000017,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B202),1,２０２５年度以降入学生用,2025-06-01 17:38:56,2025-06-01 08:38:56
B000000018,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B203),1,２０２５年度以降入学生用,2025-06-01 17:39:23,2025-06-01 08:39:24
B000000019,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B203),1,２０２５年度以降入学生用,2025-06-01 17:39:49,2025-06-01 08:39:49
B000000020,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B205),1,２０２５年度以降入学生用,2025-06-01 17:40:15,2025-06-01 08:40:16
B000000021,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B205),1,２０２５年度以降入学生用,2025-06-01 17:40:41,2025-06-01 08:40:42
B000000022,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B207),1,２０２５年度以降入学生用,2025-06-01 17:41:08,2025-06-01 08:41:08
B000000023,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B207),1,２０２５年度以降入学生用,2025-06-01 17:41:33,2025-06-01 08:41:34
B000000024,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B209),1,２０２５年度以降入学生用,2025-06-01 17:42:01,2025-06-01 08:42:01
B000000025,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B209),1,２０２５年度以降入学生用,2025-06-01 17:42:26,2025-06-01 08:42:26
B000000026,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B211),1,２０２４年度以前入学生用,2025-06-01 17:42:52,2025-06-01 08:42:52
B000000050,2025,現代のビジネス,我々の身近にあるビジネスを学ぶ,経営学部,1年次～4年次,深草,前期　木２(B201),2,２０２４年度以前入学生用、再履修含む,2025-06-01 20:52:50,2025-06-01 11:52:50
B000000060,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　木２(B202),2,Ｂ２５０００１～Ｂ２５０１０２,2025-06-01 20:52:50,2025-06-01 11:52:50
B000000070,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　月２(B212),2,Ｂ２５０１０３～Ｂ２５０２０４、（２４生以前含む）,2025-06-01 20:53:15,2025-06-01 11:53:15
B000000071,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　月２(B213),2,２０２５年度以降入学生用（商学科生教職課程履修者用）,2025-06-01 20:53:16,2025-06-01 11:53:16
B000000080,2025,簿記入門,【ステップアップ・クラス】 簿記の基礎的な知識・技術の再確認,経営学部,1年次～4年次,深草,前期　火５(B201),2,２０２５年度以降入学生用（経営学科生のみ）Ｓｔｅｐ　Ｕｐ　Ｃｌａｓｓ※日商簿記３級合格者またはそれと同等の資格試験の合格者のみ,2025-06-01 20:53:36,2025-06-01 11:53:36
B000000090,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　木２(B205),2,Ｂ２５０２０５～Ｂ２５０３０６,2025-06-01 20:53:38,2025-06-01 11:53:38
B000000100,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　木２(B208),2,Ｂ２５０３０７～（留学生含む）、（２４生以前含む）,2025-06-01 20:54:00,2025-06-01 11:54:00
B000000111,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,後期　木５(B302),2,２０２５年度以降入学生用（商学科生教職課程履修者用）,2025-06-01 20:54:23,2025-06-01 11:54:24
B000000120,2025,経営と情報,経営における情報利用のための基礎知識と実際,経営学部,1年次～4年次,深草,後期　火５(B301),2,２０２４年度以前入学生用,2025-06-01 20:54:26,2025-06-01 11:54:26
B000000130,2025,現代の企業会計,経営学部の学生として最低限必要な財務諸表の見方に関する知識,経営学部,2年次～4年次,深草,前期　火５(B202),2,２０２４年度以前入学生用,2025-06-01 20:54:26,2025-06-01 11:54:26
B000000140,2025,現代企業の成り立ち,「ビジネスの歴史を知る必要なんてない。」　　という前に…,経営学部,1年次～4年次,深草,後期　火１(B301),2,２０２４年度以前入学生用,2025-06-01 20:54:47,2025-06-01 11:54:47
B000000150,2025,現代社会と企業,働く前に知っておきたい「企業と社会」の関係,経営学部,1年次～4年次,深草,後期　木２(B301),2,２０２４年度以前入学生用,2025-06-01 20:54:49,2025-06-01 11:54:50
B000000160,2025,マーケティングの基礎,マーケティングの考え方に親しむ,経営学部,1年次～4年次,深草,後期　水１(B301),2,２０２４年度以前入学生用,2025-06-01 20:54:50,2025-06-01 11:54:50
B000000170,2025,企業経営の管理,,経営学部,1年次～4年次,深草,後期　月３(B301),2,２０２４年度以前入学生用,2025-06-01 20:55:11,2025-06-01 11:55:11
B000000180,2025,日本と世界の経済,グローバル経済の歴史,経営学部,1年次～4年次,深草,後期　火１(B302),2,２０２４年度以前入学生用,2025-06-01 20:55:13,2025-06-01 11:55:13
B000000210,2025,初級商業簿記,商業簿記の基礎的な知識と技術,経営学部,1年次～4年次,オンライン,後期　木４(B301),2,２０２５年以降入学生用（経営学科生のみ）。オンライン科目,2025-06-01 20:55:37,2025-06-01 11:55:37
B000000211,2025,初級商業簿記,商業簿記の基礎的な知識と技術,経営学部,1年次～4年次,オンライン,後期　木４(B302),2,２０２５年以降入学生用（商学科教職課程履修者用）。オンライン科目,2025-06-01 20:55:37,2025-06-01 11:55:37
B000000220,2025,経営管理論,管理学説を理解する,経営学部,1年次～4年次,オンライン,後期　金１(B301),2,オンライン科目,2025-06-01 20:55:58,2025-06-01 11:55:58
B000000231,2025,経営戦略論,,経営学部,1年次～4年次,深草,後期　火２(B301),2,,2025-06-01 20:56:22,2025-06-01 11:56:23
B000000221,2025,経営管理論,管理学説を理解する,経営学部,1年次～4年次,オンライン,後期　金１(B302),2,２０２５年度以降入学生用（商学科生教職課程履修者用）。オンライン科目,2025-06-01 20:56:23,2025-06-01 11:56:23
B000000230,2025,経営戦略論,,経営学部,1年次～4年次,深草,後期　火１(B303),2,２０２５年度以降入学生対象,2025-06-01 20:56:23,2025-06-01 11:56:23
B000000250,2025,国際経営論,多国籍企業のタックス・マネジメント,経営学部,2年次～4年次,深草,前期　月４(B201),2,２０２４年度以前入学生用,2025-06-01 20:56:46,2025-06-01 11:56:46
B000000290,2025,マーケティング・リサーチ,,経営学部,2年次～4年次,深草,前期　木４(B201),2,２０２４年度以前入学生用,2025-06-01 20:57:09,2025-06-01 11:57:09
B000000300,2025,人的資源管理論,,経営学部,1年次～4年次,深草,後期　金２(B301),2,Ｂ２５０００１～Ｂ２５０１９０（２４生以前含む）,2025-06-01 20:57:10,2025-06-01 11:57:11
B000000310,2025,人的資源管理論,,経営学部,1年次～4年次,深草,後期　火３(B302),2,２０２５年度以降入学生用（経営学科生のみ）。Ｂ２５０１９１～Ｂ２５０３８０、（２４生以前含む）,2025-06-01 20:57:12,2025-06-01 11:57:12
B000000330,2025,商品学,商品価値の総合的な理解,経営学部,2年次～4年次,深草,前期　金３(B201),2,２０２４年度以前入学生用,2025-06-01 20:57:34,2025-06-01 11:57:34
B000000350,2025,経営学原理,,経営学部,3年次～4年次,深草,後期　火３(B304),2,２０２４年度以前入学生用,2025-06-01 20:57:35,2025-06-01 11:57:35
B000000360,2025,中小企業経営論,経営的視点から「中小企業らしさ」を学ぶ,経営学部,3年次～4年次,深草,前期　金３(B202),2,２０２４年度以前入学生用,2025-06-01 20:57:56,2025-06-01 11:57:56
B000000370,2025,ロジスティクス,現代のビジネスにおけるロジスティクスの重要性を理解する,経営学部,2年次～4年次,深草,後期　水３(B301),2,２０２４年度以前入学生用,2025-06-01 20:57:58,2025-06-01 11:57:58
B000000380,2025,国際経営戦略論,21世紀の日・米・アジア多国籍企業の国際競争力,経営学部,3年次～4年次,深草,前期　月３(B201),2,２０２４年度以前入学生用,2025-06-01 20:57:59,2025-06-01 11:57:59
B000000410,2025,アジア企業経営論,アジアの企業の挑戦,経営学部,3年次～4年次,深草,後期　金４(B301),2,Ｂ２３０００１～Ｂ２３０２５０、４年生以上,2025-06-01 20:58:22,2025-06-01 11:58:23
B000000420,2025,経営意思決定論,経営意思決定論の理論的展開,経営学部,3年次～4年次,深草,前期　木２(B211),2,２０２４年度以前入学生用,2025-06-01 20:58:43,2025-06-01 11:58:43
B000000430,2025,財務会計入門,財務会計における基礎的な技術と理論,経営学部,2年次～4年次,オンライン,前期　木３(B202),2,オンライン科目。２０２４年度以前入学生用,2025-06-01 20:58:46,2025-06-01 11:58:46
B000000440,2025,財務会計論,制度会計の特徴と問題点,経営学部,2年次～4年次,オンライン,後期　木４(B303),2,２０２４年度以前入学生用。オンライン科目,2025-06-01 20:58:46,2025-06-01 11:58:46
