subject_name	target_courses
エネルギ-変換工学I	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
エネルギ-変換工学II	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
フレッシャ-ズセミナ-	応用化学課程, 先端理工学部
プロジェクトリサ-チI	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
プロジェクトリサ-チII	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
プロジェクト演習I	応用化学課程, 先端理工学部
プロジェクト演習II	応用化学課程, 先端理工学部
英語セミナ-	応用化学課程, 先端理工学部
化学と情報処理	応用化学課程, 先端理工学部
化学工学	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
科学技術英語	応用化学課程, 先端理工学部
研究デザイン演習	応用化学課程, 先端理工学部
資源·エネルギ-と環境	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
情報基礎	応用化学課程, 先端理工学部
特別研究	応用化学課程, 先端理工学部
反応工学	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
物理化学III	応用化学課程, 先端理工学部
