エラータイプ,エラー内容
処理エラー,instructorが未設定: Y000010020 パターン[4月]
処理エラー,instructorが未設定: Y000010020 パターン[6月]
処理エラー,instructorが未設定: Y000010020 パターン[6月]
処理エラー,instructorが未設定: Y000010020 パターン[6月下旬]
処理エラー,instructorが未設定: Y000010020 パターン[夏期休業期間]
処理エラー,instructorが未設定: Y000010020 パターン[9月頃(予定)]
処理エラー,instructorが未設定: Y000010020 パターン[自己応募型インターンシップ]
処理エラー,instructorが未設定: Y000011020 パターン[4月]
処理エラー,instructorが未設定: Y000011020 パターン[6月]
処理エラー,instructorが未設定: Y000011020 パターン[6月]
処理エラー,instructorが未設定: Y000011020 パターン[6月下旬]
処理エラー,instructorが未設定: Y000011020 パターン[夏期休業期間]
処理エラー,instructorが未設定: Y000011020 パターン[9月頃(予定)]
処理エラー,instructorが未設定: Y000011020 パターン[自己応募型インターンシップ]
処理エラー,instructorが未設定: YXXXXX0010 パターン[6～7月]
処理エラー,instructorが未設定: YXXXXX0010 パターン[夏期休業中]
処理エラー,instructorが未設定: YXXXXX0010 パターン[9月]
処理エラー,instructorが未設定: YXXXXX0010 パターン[10～11月]
