ファイル名,行番号,科目名,学部課程,年度,科目区分,科目小区分,必須度,エラータイプ,エラー詳細,正規化後科目名,処理日時
応化_2025.csv,27,キャリア実習·実習指導,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T18:59:54.133890
応化_2025.csv,28,ASEAN グロ-バルプログラム,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T18:59:54.135352
応化_2025.csv,33,先端理工キャリア実習I,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T18:59:54.141701
応化_2025.csv,34,先端理工インタ-ンシップI,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T18:59:54.143479
応化_2025.csv,35,先端理工キャリア実習II,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T18:59:54.145038
応化_2025.csv,36,先端理工インタ-ンシップII,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T18:59:54.146589
応化_2025.csv,41,クラウドコンピュ-ティング演習,応用化学課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T18:59:54.151418
応化_2025.csv,88,半導体材料科学I,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 半導体材料科学I (正規化後: 半導体材料科学I),半導体材料科学I,2025-06-25T18:59:54.200382
応化_2025.csv,89,半導体材料科学II,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 半導体材料科学II (正規化後: 半導体材料科学II),半導体材料科学II,2025-06-25T18:59:54.201839
応化_2025.csv,93,循環型グリ-ンケミストリ-,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 循環型グリ-ンケミストリ- (正規化後: 循環型グリ-ンケミストリ-),循環型グリ-ンケミストリ-,2025-06-25T18:59:54.206861
数理_2025.csv,7,クラウドコンピュ-ティング演習,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T18:59:54.236107
数理_2025.csv,8,キャリア実習·実習指導,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T18:59:54.237746
数理_2025.csv,9,ASEAN グロ-バルプログラム,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T18:59:54.239287
数理_2025.csv,14,先端理工キャリア実習I,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T18:59:54.245948
数理_2025.csv,15,先端理工インタ-ンシップI,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T18:59:54.247749
数理_2025.csv,16,先端理工キャリア実習II,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T18:59:54.249395
数理_2025.csv,17,先端理工インタ-ンシップII,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T18:59:54.251030
機械_2025.csv,6,物理学実験,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 物理学実験 (正規化後: 物理学実験),物理学実験,2025-06-25T18:59:54.333173
機械_2025.csv,7,力学·物理学演習II,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 力学·物理学演習II (正規化後: 力学·物理学演習II),力学·物理学演習II,2025-06-25T18:59:54.334582
機械_2025.csv,16,機械工学·ロボティクス課程入門,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 機械工学·ロボティクス課程入門 (正規化後: 機械工学·ロボティクス課程入門),機械工学·ロボティクス課程入門,2025-06-25T18:59:54.345531
機械_2025.csv,19,キャリア実習·実習指導,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T18:59:54.348855
機械_2025.csv,21,材料力学基礎,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 材料力学基礎 (正規化後: 材料力学基礎),材料力学基礎,2025-06-25T18:59:54.352041
機械_2025.csv,30,ASEAN グロ-バルプログラム,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T18:59:54.365383
機械_2025.csv,32,クラウドコンピュ-ティング演習,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T18:59:54.368488
機械_2025.csv,40,材料力学応用,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 材料力学応用 (正規化後: 材料力学応用),材料力学応用,2025-06-25T18:59:54.381337
機械_2025.csv,48,機械工学·ロボティクス課程実験,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 機械工学·ロボティクス課程実験 (正規化後: 機械工学·ロボティクス課程実験),機械工学·ロボティクス課程実験,2025-06-25T18:59:54.393795
機械_2025.csv,58,先端理工キャリア実習I,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T18:59:54.406400
機械_2025.csv,59,先端理工インタ-ンシップI,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T18:59:54.408313
機械_2025.csv,60,先端理工キャリア実習II,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T18:59:54.410055
