ファイル名,行番号,科目名,学部課程,年度,属性名,属性値,エラータイプ,エラー詳細,正規化後科目名,処理日時
応化_2025.csv,27,キャリア実習·実習指導,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:14:27.073092
応化_2025.csv,28,ASEAN グロ-バルプログラム,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:14:27.073322
応化_2025.csv,33,先端理工キャリア実習I,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:14:27.076399
応化_2025.csv,34,先端理工インタ-ンシップI,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:14:27.076639
応化_2025.csv,35,先端理工キャリア実習II,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:14:27.076889
応化_2025.csv,36,先端理工インタ-ンシップII,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:14:27.077134
応化_2025.csv,41,クラウドコンピュ-ティング演習,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:14:27.081945
応化_2025.csv,88,半導体材料科学I,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 半導体材料科学I (正規化後: 半導体材料科学I),半導体材料科学I,2025-06-30T10:14:27.130107
応化_2025.csv,89,半導体材料科学II,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 半導体材料科学II (正規化後: 半導体材料科学II),半導体材料科学II,2025-06-30T10:14:27.130333
応化_2025.csv,93,循環型グリ-ンケミストリ-,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 循環型グリ-ンケミストリ- (正規化後: 循環型グリ-ンケミストリ-),循環型グリ-ンケミストリ-,2025-06-30T10:14:27.133561
数理_2025.csv,7,クラウドコンピュ-ティング演習,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:14:27.156433
数理_2025.csv,8,キャリア実習·実習指導,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:14:27.156686
数理_2025.csv,9,ASEAN グロ-バルプログラム,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:14:27.156934
数理_2025.csv,14,先端理工キャリア実習I,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:14:27.160862
数理_2025.csv,15,先端理工インタ-ンシップI,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:14:27.161205
数理_2025.csv,16,先端理工キャリア実習II,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:14:27.161685
数理_2025.csv,17,先端理工インタ-ンシップII,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:14:27.162080
機械_2025.csv,19,キャリア実習·実習指導,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:14:27.261442
機械_2025.csv,20,機械力学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 機械力学 (正規化後: 機械力学),機械力学,2025-06-30T10:14:27.261780
機械_2025.csv,21,材料力学基礎,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 材料力学基礎 (正規化後: 材料力学基礎),材料力学基礎,2025-06-30T10:14:27.262141
機械_2025.csv,22,流体力学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 流体力学 (正規化後: 流体力学),流体力学,2025-06-30T10:14:27.262452
機械_2025.csv,23,アナログ電子制御,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: アナログ電子制御 (正規化後: アナログ電子制御),アナログ電子制御,2025-06-30T10:14:27.262769
