ファイル名,科目名,科目コード,開講年度,対象学部,エラータイプ,エラー詳細,正規化後学部名,処理日時
Y000001010.json,情報基礎,Y000001010,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:09.999782
Y000001010.json,情報基礎,Y000001010,2025,数理・情報科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 数理·情報科学課程,数理·情報科学課程,2025-07-01T17:20:09.999841
Y000001020.json,情報基礎,Y000001020,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.012131
Y000001020.json,情報基礎,Y000001020,2025,知能情報メディア課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 知能情報メディア課程,知能情報メディア課程,2025-07-01T17:20:10.012162
Y000001030.json,情報基礎,Y000001030,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.020550
Y000001030.json,情報基礎,Y000001030,2025,電子情報通信課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 電子情報通信課程,電子情報通信課程,2025-07-01T17:20:10.020619
Y000001040.json,情報基礎,Y000001040,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.033903
Y000001040.json,情報基礎,Y000001040,2025,機械工学・ロボティクス課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 機械工学·ロボティクス課程,機械工学·ロボティクス課程,2025-07-01T17:20:10.033936
Y000001050.json,情報基礎,Y000001050,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.042128
Y000001050.json,情報基礎,Y000001050,2025,応用化学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 応用化学課程,応用化学課程,2025-07-01T17:20:10.042157
Y000001060.json,情報基礎,Y000001060,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.050633
Y000001060.json,情報基礎,Y000001060,2025,環境生態工学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境生態工学課程,環境生態工学課程,2025-07-01T17:20:10.050661
Y000001060.json,情報基礎,Y000001060,2025,環境科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境科学課程,環境科学課程,2025-07-01T17:20:10.050671
Y000002010.json,フレッシャーズセミナー,Y000002010,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.063192
Y000002010.json,フレッシャーズセミナー,Y000002010,2025,数理・情報科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 数理·情報科学課程,数理·情報科学課程,2025-07-01T17:20:10.063226
Y000002020.json,フレッシャーズセミナー,Y000002020,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.072021
Y000002020.json,フレッシャーズセミナー,Y000002020,2025,知能情報メディア課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 知能情報メディア課程,知能情報メディア課程,2025-07-01T17:20:10.072052
Y000002030.json,フレッシャーズセミナー,Y000002030,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.080527
Y000002030.json,フレッシャーズセミナー,Y000002030,2025,電子情報通信課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 電子情報通信課程,電子情報通信課程,2025-07-01T17:20:10.080550
Y000002040.json,フレッシャーズセミナー,Y000002040,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.086885
Y000002040.json,フレッシャーズセミナー,Y000002040,2025,機械工学・ロボティクス課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 機械工学·ロボティクス課程,機械工学·ロボティクス課程,2025-07-01T17:20:10.086917
Y000002050.json,フレッシャーズセミナー,Y000002050,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.095320
Y000002050.json,フレッシャーズセミナー,Y000002050,2025,応用化学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 応用化学課程,応用化学課程,2025-07-01T17:20:10.095347
Y000002060.json,フレッシャーズセミナー,Y000002060,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.103026
Y000002060.json,フレッシャーズセミナー,Y000002060,2025,環境生態工学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境生態工学課程,環境生態工学課程,2025-07-01T17:20:10.103050
Y000002060.json,フレッシャーズセミナー,Y000002060,2025,環境科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境科学課程,環境科学課程,2025-07-01T17:20:10.103059
Y000004010.json,理工学のすすめ,Y000004010,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.109718
Y000004010.json,理工学のすすめ,Y000004010,2025,数理・情報科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 数理·情報科学課程,数理·情報科学課程,2025-07-01T17:20:10.109743
Y000004010.json,理工学のすすめ,Y000004010,2025,知能情報メディア課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 知能情報メディア課程,知能情報メディア課程,2025-07-01T17:20:10.109752
Y000004010.json,理工学のすすめ,Y000004010,2025,電子情報通信課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 電子情報通信課程,電子情報通信課程,2025-07-01T17:20:10.109761
Y000004010.json,理工学のすすめ,Y000004010,2025,機械工学・ロボティクス課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 機械工学·ロボティクス課程,機械工学·ロボティクス課程,2025-07-01T17:20:10.109769
Y000004010.json,理工学のすすめ,Y000004010,2025,応用化学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 応用化学課程,応用化学課程,2025-07-01T17:20:10.109777
Y000004010.json,理工学のすすめ,Y000004010,2025,環境生態工学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境生態工学課程,環境生態工学課程,2025-07-01T17:20:10.109784
Y000004010.json,理工学のすすめ,Y000004010,2025,環境科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境科学課程,環境科学課程,2025-07-01T17:20:10.109791
Y000005010.json,ＡＳＥＡＮグローバルプログラム,Y000005010,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.119895
Y000005010.json,ＡＳＥＡＮグローバルプログラム,Y000005010,2025,数理・情報科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 数理·情報科学課程,数理·情報科学課程,2025-07-01T17:20:10.119935
Y000005010.json,ＡＳＥＡＮグローバルプログラム,Y000005010,2025,知能情報メディア課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 知能情報メディア課程,知能情報メディア課程,2025-07-01T17:20:10.119945
Y000005010.json,ＡＳＥＡＮグローバルプログラム,Y000005010,2025,電子情報通信課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 電子情報通信課程,電子情報通信課程,2025-07-01T17:20:10.119954
Y000005010.json,ＡＳＥＡＮグローバルプログラム,Y000005010,2025,機械工学・ロボティクス課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 機械工学·ロボティクス課程,機械工学·ロボティクス課程,2025-07-01T17:20:10.119961
Y000005010.json,ＡＳＥＡＮグローバルプログラム,Y000005010,2025,応用化学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 応用化学課程,応用化学課程,2025-07-01T17:20:10.119969
Y000005010.json,ＡＳＥＡＮグローバルプログラム,Y000005010,2025,環境生態工学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境生態工学課程,環境生態工学課程,2025-07-01T17:20:10.119976
Y000005010.json,ＡＳＥＡＮグローバルプログラム,Y000005010,2025,環境科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境科学課程,環境科学課程,2025-07-01T17:20:10.119983
Y000006010.json,デザインシンキング,Y000006010,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.128056
Y000006010.json,デザインシンキング,Y000006010,2025,数理・情報科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 数理·情報科学課程,数理·情報科学課程,2025-07-01T17:20:10.128087
Y000006010.json,デザインシンキング,Y000006010,2025,知能情報メディア課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 知能情報メディア課程,知能情報メディア課程,2025-07-01T17:20:10.128097
Y000006010.json,デザインシンキング,Y000006010,2025,電子情報通信課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 電子情報通信課程,電子情報通信課程,2025-07-01T17:20:10.128105
Y000006010.json,デザインシンキング,Y000006010,2025,機械工学・ロボティクス課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 機械工学·ロボティクス課程,機械工学·ロボティクス課程,2025-07-01T17:20:10.128114
Y000006010.json,デザインシンキング,Y000006010,2025,応用化学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 応用化学課程,応用化学課程,2025-07-01T17:20:10.128122
Y000006010.json,デザインシンキング,Y000006010,2025,環境生態工学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境生態工学課程,環境生態工学課程,2025-07-01T17:20:10.128130
Y000006010.json,デザインシンキング,Y000006010,2025,環境科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境科学課程,環境科学課程,2025-07-01T17:20:10.128137
Y000007010.json,グローバル人材育成プログラム,Y000007010,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.134663
Y000007010.json,グローバル人材育成プログラム,Y000007010,2025,数理・情報科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 数理·情報科学課程,数理·情報科学課程,2025-07-01T17:20:10.134686
Y000007010.json,グローバル人材育成プログラム,Y000007010,2025,知能情報メディア課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 知能情報メディア課程,知能情報メディア課程,2025-07-01T17:20:10.134697
Y000007010.json,グローバル人材育成プログラム,Y000007010,2025,電子情報通信課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 電子情報通信課程,電子情報通信課程,2025-07-01T17:20:10.134707
Y000007010.json,グローバル人材育成プログラム,Y000007010,2025,機械工学・ロボティクス課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 機械工学·ロボティクス課程,機械工学·ロボティクス課程,2025-07-01T17:20:10.134716
Y000007010.json,グローバル人材育成プログラム,Y000007010,2025,応用化学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 応用化学課程,応用化学課程,2025-07-01T17:20:10.134725
Y000007010.json,グローバル人材育成プログラム,Y000007010,2025,環境生態工学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境生態工学課程,環境生態工学課程,2025-07-01T17:20:10.134734
Y000007010.json,グローバル人材育成プログラム,Y000007010,2025,環境科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境科学課程,環境科学課程,2025-07-01T17:20:10.134742
Y000008010.json,プロジェクトリサーチⅠ,Y000008010,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.141283
Y000008010.json,プロジェクトリサーチⅠ,Y000008010,2025,数理・情報科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 数理·情報科学課程,数理·情報科学課程,2025-07-01T17:20:10.141326
Y000008010.json,プロジェクトリサーチⅠ,Y000008010,2025,知能情報メディア課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 知能情報メディア課程,知能情報メディア課程,2025-07-01T17:20:10.141499
Y000008010.json,プロジェクトリサーチⅠ,Y000008010,2025,電子情報通信課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 電子情報通信課程,電子情報通信課程,2025-07-01T17:20:10.141552
Y000008010.json,プロジェクトリサーチⅠ,Y000008010,2025,機械工学・ロボティクス課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 機械工学·ロボティクス課程,機械工学·ロボティクス課程,2025-07-01T17:20:10.141564
Y000008010.json,プロジェクトリサーチⅠ,Y000008010,2025,応用化学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 応用化学課程,応用化学課程,2025-07-01T17:20:10.141572
Y000008010.json,プロジェクトリサーチⅠ,Y000008010,2025,環境生態工学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境生態工学課程,環境生態工学課程,2025-07-01T17:20:10.141580
Y000008010.json,プロジェクトリサーチⅠ,Y000008010,2025,環境科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 環境科学課程,環境科学課程,2025-07-01T17:20:10.141588
Y000009010.json,プロジェクトリサーチⅡ,Y000009010,2025,先端理工学部,FACULTY_NOT_FOUND,学部・課程が見つかりません: 先端理工学部,先端理工学部,2025-07-01T17:20:10.148059
Y000009010.json,プロジェクトリサーチⅡ,Y000009010,2025,数理・情報科学課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 数理·情報科学課程,数理·情報科学課程,2025-07-01T17:20:10.148078
Y000009010.json,プロジェクトリサーチⅡ,Y000009010,2025,知能情報メディア課程,FACULTY_NOT_FOUND,学部・課程が見つかりません: 知能情報メディア課程,知能情報メディア課程,2025-07-01T17:20:10.148087
